epoch,loss,rmse_train,rmse_val
100,1.469262315978437e-12,1.2121313375246245e-06,
epoch,loss,rmse_train,rmse_val
1,5.926553149038228e-07,0.0007697420660406351,
2,5.924766128373449e-07,0.0007696268148720264,
3,5.923027174503659e-07,0.0007695150561630726,
4,5.921354386373423e-07,0.0007694063824601471,
5,5.919727573200362e-07,0.0007693013758398592,
6,5.918155102335732e-07,0.000769200618378818,
7,5.916638519920525e-07,0.0007691032369621098,
8,5.915181873206166e-07,0.0007690080092288554,
9,5.913775567023549e-07,0.0007689176709391177,
10,5.912412507314002e-07,0.000768830010201782,
11,5.911116568313446e-07,0.0007687464240007102,
12,5.909854917263147e-07,0.0007686656899750233,
13,5.908662933507003e-07,0.000768587808124721,
14,5.907506510993698e-07,0.0007685138261877,
15,5.906399928790052e-07,0.0007684421143494546,
16,5.905339094169904e-07,0.0007683740695938468,
17,5.904317686145077e-07,0.0007683084113523364,
18,5.903341116209049e-07,0.0007682449067942798,
19,5.902398470425396e-07,0.000768184894695878,
20,5.901503800487262e-07,0.000768127094488591,
21,5.900642372580478e-07,0.0007680719718337059,
22,5.899823827348882e-07,0.0007680185954086483,
23,5.899038751522312e-07,0.0007679681875742972,
24,5.898289691685932e-07,0.0007679194677621126,
25,5.897568416912691e-07,0.0007678735419176519,
26,5.896892480450334e-07,0.0007678293040953577,
27,5.896227776247542e-07,0.0007677868707105517,
28,5.895601407246431e-07,0.0007677467656321824,
29,5.895005278944155e-07,0.0007677075918763876,
30,5.894431205888395e-07,0.0007676704553887248,
31,5.893884008401074e-07,0.0007676360546611249,
32,5.893370462217718e-07,0.0007676015957258642,
33,5.892853459954494e-07,0.0007675700471736491,
34,5.892389935979736e-07,0.0007675401866436005,
35,5.891934597457294e-07,0.0007675101514905691,
36,5.891498767596204e-07,0.000767482677474618,
37,5.891087312193122e-07,0.0007674570078961551,
38,5.890706233913079e-07,0.0007674314547330141,
39,5.890319243917474e-07,0.0007674079388380051,
40,5.889978501727455e-07,0.0007673862855881453,
41,5.889651038160082e-07,0.0007673639338463545,
42,5.889324984309496e-07,0.0007673440268263221,
43,5.889018166271853e-07,0.0007673246436752379,
44,5.888733312531258e-07,0.0007673064828850329,
45,5.888455098101986e-07,0.0007672893116250634,
46,5.888203259019065e-07,0.0007672738283872604,
47,5.887955057914951e-07,0.0007672584615647793,
48,5.887725501452224e-07,0.00076724385144189,
49,5.887502356927143e-07,0.0007672299980185926,
50,5.887304587304243e-07,0.0007672170759178698,
51,5.887116549274652e-07,0.0007672058418393135,
52,5.88692851124506e-07,0.0007671945495530963,
53,5.886763710805099e-07,0.00076718395575881,
54,5.886603230464971e-07,0.0007671742350794375,
55,5.886460576220998e-07,0.0007671656203456223,
56,5.88632046856219e-07,0.0007671577041037381,
57,5.886198186999536e-07,0.0007671504281461239,
58,5.886088729312178e-07,0.0007671442581340671,
59,5.885988730369718e-07,0.0007671383209526539,
60,5.885902555746724e-07,0.0007671336061321199,
61,5.885818154638401e-07,0.0007671283674426377,
62,5.885747668799013e-07,0.0007671246421523392,
63,5.885696509722039e-07,0.0007671217899769545,
64,5.885651080461685e-07,0.0007671197527088225,
65,5.885605241928715e-07,0.0007671180064789951,
66,5.8855720453721e-07,0.000767116725910455,
